RO_lunar_month,F2_id,tank_id,system,RO,TLE,initial_diameter
Feb_2022,RAS_F2_1,RAS_tank1,RAS,28,9.1,1.39
Feb_2022,RAS_F2_2,RAS_tank1,RAS,11,10,1.36
Feb_2022,RAS_F2_3,RAS_tank1,RAS,13,9.7,1.5
Feb_2022,RAS_F2_4,RAS_tank1,RAS,19,10.1,2.24
Feb_2022,RAS_F2_5,RAS_tank1,RAS,79,10.3,2.07
Feb_2022,RAS_F2_6,RAS_tank2,RAS,6,9.3,2.14
Feb_2022,RAS_F2_7,RAS_tank2,RAS,0,6.3,1.46
Feb_2022,RAS_F2_8,RAS_tank2,RAS,0,9.3,1.04
Feb_2022,RAS_F2_9,RAS_tank2,RAS,5,7.4,1.83
Feb_2022,RAS_F2_10,RAS_tank2,RAS,1,5.7,1.8
Feb_2022,RAS_F2_11,RAS_tank3,RAS,21,8.7,2.33
Feb_2022,RAS_F2_12,RAS_tank3,RAS,1,6.7,1.63
Feb_2022,RAS_F2_13,RAS_tank3,RAS,25,7.5,1.74
Feb_2022,RAS_F2_14,RAS_tank3,RAS,7,7.5,1.69
Feb_2022,RAS_F2_15,RAS_tank3,RAS,15,7.8,2.57
Feb_2022,FTS_F2_1,FTS_tank1,FTS,16,12.15,1.8
Feb_2022,FTS_F2_2,FTS_tank1,FTS,51,13.5,1.68
Feb_2022,FTS_F2_3,FTS_tank1,FTS,25,13.7,1.57
Feb_2022,FTS_F2_4,FTS_tank1,FTS,7,10.9,2.04
Feb_2022,FTS_F2_5,FTS_tank1,FTS,30,13.5,1.83
Feb_2022,FTS_F2_6,FTS_tank2,FTS,24,11.5,1.48
Feb_2022,FTS_F2_7,FTS_tank2,FTS,360,12.9,2.16
Feb_2022,FTS_F2_8,FTS_tank2,FTS,33,10.1,1.04
Feb_2022,FTS_F2_9,FTS_tank2,FTS,136,12.9,2.27
Feb_2022,FTS_F2_10,FTS_tank2,FTS,178,13.3,2.16
Feb_2022,FTS_F2_11,FTS_tank3,FTS,40,13.7,1.96
Feb_2022,FTS_F2_12,FTS_tank3,FTS,30,12.9,1.22
Feb_2022,FTS_F2_13,FTS_tank3,FTS,24,12.9,1.54
Feb_2022,FTS_F2_14,FTS_tank3,FTS,23,10,1.86
Feb_2022,FTS_F2_15,FTS_tank3,FTS,0,12.9,1.21
